compound_id	smiles	chem_name	mw
66	COC(=O)c1ccc(C2NC(=S)N(Cc3ccccc3)C(C)=C2C(=O)Nc2sc3c(c2C(=O)OC)CCC3)cc1	methyl 2-{1-benzyl-4-[4-(methoxycarbonyl)phenyl]-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-amido}-4H,5H,6H-cyclopenta[b]thiophene-3-carboxylate	575.70
67	CC1=C(C(=O)Nc2cc(C)on2)C(c2ccc(C(C)(C)C)cc2)NC(=S)N1		
68	CCOC(=O)C1=C(C)N(C)C(=S)NC1c1ccc(Oc2ccc(F)cc2)c([N+](=O)[O-])c1	ethyl 4-[4-(4-fluorophenoxy)-3-nitrophenyl]-1,6-dimethyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxylate	445.47
69	CC1=C(C(=O)N2CCOCC2)C(c2ccccc2)NC(=S)N1c1ccc(C)c(F)c1	1-(3-fluoro-4-methylphenyl)-6-methyl-5-(morpholine-4-carbonyl)-4-phenyl-1,2,3,4-tetrahydropyrimidine-2-thione	425.52
70	COC(=O)C1=C(C)N(c2ccc3c(c2)OCCO3)C(=S)NC1c1c(OC)cc(OC)cc1OC		
71	COc1ccccc1NC(=O)C1=C(C)N(C)C(=S)NC1c1ccc(F)cc1		
72	C=CCCC1=C(C(=O)OC)C(c2cnn(C3CC3)c2)NC(=O)N1CC1CC1	methyl 6-(but-3-en-1-yl)-4-(1-cyclopropyl-1H-pyrazol-4-yl)-1-(cyclopropylmethyl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	370.45
73	C=CCCc1cccc(C2NC(=O)N(C)C(c3ccn(C)n3)=C2C(=O)OC)c1	methyl 4-[3-(but-3-en-1-yl)phenyl]-1-methyl-6-(1-methyl-1H-pyrazol-3-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	380.44
74	C=CCN1C(=O)NC(c2ccc(CC)cc2OC)C2=C1CCCNC2=O	4-(4-ethyl-2-methoxyphenyl)-1-(prop-2-en-1-yl)-1H,2H,3H,4H,5H,6H,7H,8H,9H-pyrimido[5,4-c]azepine-2,5-dione	355.43
75	C=CCN1C(=O)NC(c2ccc(O)c(OC)c2)C(C(=O)OC)=C1c1ccn(C)n1	methyl 4-(4-hydroxy-3-methoxyphenyl)-6-(1-methyl-1H-pyrazol-3-yl)-2-oxo-1-(prop-2-en-1-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	398.41
76	C=CCN1C(=O)NC(c2ccccc2C#N)C(C(=O)OCC)=C1c1cscn1	ethyl 4-(2-cyanophenyl)-2-oxo-1-(prop-2-en-1-yl)-6-(1,3-thiazol-4-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	394.45
77	C=CCN1C(=O)NC(c2ccn(CCC(=O)O)n2)C(C(=O)OCC)=C1CC	3-{3-[5-(ethoxycarbonyl)-6-ethyl-2-oxo-1-(prop-2-en-1-yl)-1,2,3,4-tetrahydropyrimidin-4-yl]-1H-pyrazol-1-yl}propanoic acid	376.41
78	C=CCN1C(=O)NC(c2nc(Br)cn2C)C(C(=O)OC)=C1COC	methyl 4-(4-bromo-1-methyl-1H-imidazol-2-yl)-6-(methoxymethyl)-2-oxo-1-(prop-2-en-1-yl)-1,2,3,4-tetrahydropyrimidine-5-carboxylate	399.24
79	C=CCOC(=O)C1=C(C)N(CCc2cccs2)C(=O)NC1c1cncnc1N	prop-2-en-1-yl 4'-amino-6-methyl-2-oxo-1-[2-(thiophen-2-yl)ethyl]-1,2,3,4-tetrahydro-[4,5'-bipyrimidine]-5-carboxylate	399.47
80	C=CCOC(=O)C1=C(C)N(CCc2cccs2)C(=O)NC1c1cncs1	prop-2-en-1-yl 6-methyl-2-oxo-4-(1,3-thiazol-5-yl)-1-[2-(thiophen-2-yl)ethyl]-1,2,3,4-tetrahydropyrimidine-5-carboxylate	389.49
81	C=CCOC(=O)C1=C(C)N(CCc2cccs2)C(=O)NC1c1nccn1C=C	prop-2-en-1-yl 4-(1-ethenyl-1H-imidazol-2-yl)-6-methyl-2-oxo-1-[2-(thiophen-2-yl)ethyl]-1,2,3,4-tetrahydropyrimidine-5-carboxylate	398.48
82	C=CCOC(=O)C1=C(C)N(Cc2ccc(F)cc2F)C(=O)NC1c1ccon1	prop-2-en-1-yl 1-[(2,4-difluorophenyl)methyl]-6-methyl-4-(1,2-oxazol-3-yl)-2-oxo-1,2,3,4-tetrahydropyrimidine-5-carboxylate	389.35
